defect1_1,defect1_2,defect2_1,defect2_2,total_power
1,1,2,1,11750.7341675678
1,1,3,1,12697.6074261777
1,1,4,1,12762.4134871987
1,1,5,1,7925.78991345122
1,1,1,2,12612.5110852896
1,1,2,2,11658.3142301285
1,1,3,2,12705.5746986327
1,1,4,2,12771.9010899813
1,1,5,2,7541.37536031838
1,1,1,3,12426.1485469652
1,1,2,3,11920.706031682
1,1,3,3,12689.587548433
1,1,4,3,12755.872426555
1,1,5,3,8026.44109369523
1,1,1,4,12242.3046681742
1,1,2,4,12272.6904772062
1,1,3,4,12655.5954292153
1,1,4,4,12732.0030596884
1,1,5,4,8713.65367987669
1,1,1,5,12022.1545050715
1,1,2,5,12516.3655212572
1,1,3,5,12627.4794031038
1,1,4,5,12709.9865715672
1,1,5,5,9002.89556337491
1,1,1,6,11727.5543563635
1,1,2,6,12713.3949451684
1,1,3,6,12609.165750622
1,1,4,6,12684.7117689129
1,1,5,6,9012.92734369761
1,1,1,7,11295.0916728041
1,1,2,7,12912.3050567703
1,1,3,7,12598.9829011443
1,1,4,7,12677.0585142345
1,1,5,7,8756.31330292057
1,1,1,8,10666.9759508219
1,1,2,8,13158.1309479719
1,1,3,8,12594.057267017
1,1,4,8,12681.0720035538
1,1,5,8,8179.29268652252
1,1,1,9,10534.7430633115
1,1,2,9,13519.7199161348
1,1,3,9,12591.7837220195
1,1,4,9,12700.5804750968
1,1,5,9,7992.04535250184
1,1,1,10,11111.7678537576
1,1,2,10,14026.5507589633
1,1,3,10,12590.3429005607
1,1,4,10,12734.795290706
1,1,5,10,8537.89294535967
2,1,3,1,17361.585302218
2,1,4,1,17378.0954906198
2,1,5,1,13222.0017590941
2,1,1,2,11009.6062184979
2,1,2,2,17298.7631247739
2,1,3,2,17333.0629140962
2,1,4,2,17394.2859922582
2,1,5,2,12615.9448429434
2,1,1,3,12531.7179904047
2,1,2,3,17336.6918915797
2,1,3,3,17282.2991067861
2,1,4,3,17348.7608195426
2,1,5,3,12790.8973169389
2,1,1,4,13358.011071005
2,1,2,4,17377.4081468525
2,1,3,4,17233.3627654445
2,1,4,4,17297.0194200013
2,1,5,4,13365.5765419843
2,1,1,5,13713.3085162646
2,1,2,5,17431.9568462439
2,1,3,5,17196.5386378941
2,1,4,5,17260.8944989656
2,1,5,5,13618.6221289889
2,1,1,6,13800.2420776138
2,1,2,6,17508.1927651252
2,1,3,6,17172.4537223415
2,1,4,6,17241.6719909845
2,1,5,6,13610.697272802
2,1,1,7,13646.304384083
2,1,2,7,17621.2261163045
2,1,3,7,17159.192527635
2,1,4,7,17233.1658039689
2,1,5,7,13342.9502125343
2,1,1,8,13225.0237303433
2,1,2,8,17800.7328497268
2,1,3,8,17153.171921024
2,1,4,8,17235.9706435806
2,1,5,8,12769.3011654117
2,1,1,9,13250.8381564704
2,1,2,9,18112.7751579113
2,1,3,9,17148.878367319
2,1,4,9,17250.5791751666
2,1,5,9,12566.2868752826
2,1,1,10,14026.5507183169
2,1,2,10,18587.0670062572
2,1,3,10,17144.4594196257
2,1,4,10,17284.2997321002
2,1,5,10,13109.427376515
3,1,4,1,17522.3362832032
3,1,5,1,12717.194569598
3,1,1,2,11920.4442035249
3,1,2,2,16802.0625072401
3,1,3,2,15394.8324860905
3,1,4,2,15573.0967714328
3,1,5,2,10885.9115640327
3,1,1,3,11920.421593758
3,1,2,3,16509.6437461079
3,1,3,3,15394.5333044006
3,1,4,3,15499.9262183065
3,1,5,3,11040.2758331211
3,1,1,4,12397.7710835806
3,1,2,4,16364.8908533264
3,1,3,4,15394.4754519277
3,1,4,4,15476.6895629986
3,1,5,4,11600.2429884605
3,1,1,5,12613.9718462576
3,1,2,5,16303.0179447199
3,1,3,5,15394.4999316447
3,1,4,5,15468.1429945772
3,1,5,5,11854.654183367
3,1,1,6,12611.7553583041
3,1,2,6,16300.5068206488
3,1,3,6,15394.5039279332
3,1,4,6,15465.0105176137
3,1,5,6,11853.0305684216
3,1,1,7,12390.9814653119
3,1,2,7,16355.1685872316
3,1,3,7,15394.486019391
3,1,4,7,15465.6388270941
3,1,5,7,11589.7559454518
3,1,1,8,11911.0344512322
3,1,2,8,16487.8501485043
3,1,3,8,15394.5441612242
3,1,4,8,15473.2972045273
3,1,5,8,11013.9880954245
3,1,1,9,11884.641587514
3,1,2,9,16750.7702710251
3,1,3,9,15394.8402425737
3,1,4,9,15495.3455042239
3,1,5,9,10817.4791352293
3,1,1,10,12590.3425822645
3,1,2,10,17144.4599018805
3,1,3,10,15395.011944851
3,1,4,10,15530.4398580025
3,1,5,10,11347.4704342692
4,1,5,1,12620.0530761364
4,1,1,2,12035.8990632388
4,1,2,2,16934.7987506103
4,1,3,2,15645.4631351573
4,1,4,2,15537.486823205
4,1,5,2,10723.8472205172
4,1,1,3,12053.5010911959
4,1,2,3,16656.4410189222
4,1,3,3,15589.0081908563
4,1,4,3,15553.7496959049
4,1,5,3,11043.1204492482
4,1,1,4,12536.7661732531
4,1,2,4,16512.9868680406
4,1,3,4,15569.3395048989
4,1,4,4,15557.4318581127
4,1,5,4,11660.9125970645
4,1,1,5,12755.8117392675
4,1,2,5,16450.5838792148
4,1,3,5,15559.3842645837
4,1,4,5,15560.5426596419
4,1,5,5,11936.473814231
4,1,1,6,12755.0099289726
4,1,2,6,16447.266234562
4,1,3,6,15553.3382830894
4,1,4,6,15561.8398504506
4,1,5,6,11943.6910276491
4,1,1,7,12535.9679001253
4,1,2,7,16501.4854327371
4,1,3,7,15548.9606528775
4,1,4,7,15572.9097393293
4,1,5,7,11687.0385059201
4,1,1,8,12074.0610056481
4,1,2,8,16632.479267848
4,1,3,8,15537.9915187876
4,1,4,8,15586.79916204
4,1,5,8,11117.8327552293
4,1,1,9,12031.9619757648
4,1,2,9,16893.0820169638
4,1,3,9,15527.7480420935
4,1,4,9,15613.2400752265
4,1,5,9,10926.6193358486
4,1,1,10,12734.7950173816
4,1,2,10,17284.299658547
4,1,3,10,15530.4401267513
4,1,4,10,15657.2440658841
4,1,5,10,11461.1678429955
5,1,1,2,7407.60429607191
5,1,2,2,12912.2965530431
5,1,3,2,11893.9321241899
5,1,4,2,11733.8169720168
5,1,5,2,11083.7530598248
5,1,1,3,7725.30557697105
5,1,2,3,12580.1883124292
5,1,3,3,11638.5259532208
5,1,4,3,11520.7648756709
5,1,5,3,10922.621733863
5,1,1,4,8291.46518754654
5,1,2,4,12385.5637715401
5,1,3,4,11500.9700775603
5,1,4,4,11430.2581059434
5,1,5,4,10729.7019140966
5,1,1,5,8529.40414595659
5,1,2,5,12285.7121132584
5,1,3,5,11417.4898779322
5,1,4,5,11379.5161832143
5,1,5,5,10477.7261318237
5,1,1,6,8540.35032863271
5,1,2,6,12271.3364606618
5,1,3,6,11374.8997271799
5,1,4,6,11365.4952933297
5,1,5,6,10129.1254302986
5,1,1,7,8328.22193031555
