defect1_1,defect1_2,defect2_1,defect2_2,total_voltage
1,1,2,1,157.6633371
1,1,3,1,96.21286433
1,1,4,1,96.93170711
1,1,5,1,157.0344241
1,1,1,2,101.8371069
1,1,2,2,120.2097725
1,1,3,2,96.131246
1,1,4,2,96.7704925
1,1,5,2,125.5389057
1,1,1,3,102.0465328
1,1,2,3,110.6930415
1,1,3,3,96.09859839
1,1,4,3,96.66286379
1,1,5,3,113.6548819
1,1,1,4,102.7382185
1,1,2,4,106.4571257
1,1,3,4,96.08446494
1,1,4,4,96.60376363
1,1,5,4,108.1926097
1,1,1,5,104.0305387
1,1,2,5,104.2105351
1,1,3,5,96.07627474
1,1,4,5,96.57332334
1,1,5,5,106.1122241
1,1,1,6,106.2148339
1,1,2,6,102.9512241
1,1,3,6,96.07048775
1,1,4,6,96.56351918
1,1,5,6,106.3177815
1,1,1,7,109.8884874
1,1,2,7,102.289832
1,1,3,7,96.06624817
1,1,4,7,96.57303332
1,1,5,7,108.6580539
1,1,1,8,116.1955955
1,1,2,8,102.1072518
1,1,3,8,96.06404996
1,1,4,8,96.60597701
1,1,5,8,113.9326739
1,1,1,9,128.058779
1,1,2,9,102.4605689
1,1,3,9,96.06542451
1,1,4,9,96.67185465
1,1,5,9,124.9972529
1,1,1,10,156.4610056
1,1,2,10,103.2380911
1,1,3,10,96.06800166
1,1,4,10,96.75893566
1,1,5,10,154.1917721
2,1,3,1,44.84377216
2,1,4,1,44.68374602
2,1,5,1,104.4085092
2,1,1,2,87.77739988
2,1,2,2,45.02446296
2,1,3,2,44.32644244
2,1,4,2,44.57322441
2,1,5,2,74.19860282
2,1,1,3,67.67484958
2,1,2,3,45.27213269
2,1,3,3,44.1746993
2,1,4,3,44.47128638
2,1,5,3,62.77063781
2,1,1,4,59.86202793
2,1,2,4,45.58866481
2,1,3,4,44.08396934
2,1,4,4,44.41409897
2,1,5,4,57.42058264
2,1,1,5,57.20600324
2,1,2,5,45.941158
2,1,3,5,44.03288024
2,1,4,5,44.41609457
2,1,5,5,55.17372232
2,1,1,6,57.08675819
2,1,2,6,46.37120227
2,1,3,6,44.03029841
2,1,4,6,44.41346077
2,1,5,6,55.10025388
2,1,1,7,59.31074161
2,1,2,7,46.94427704
2,1,3,7,44.01543439
2,1,4,7,44.43441088
2,1,5,7,57.22631869
