defect1_1,defect1_2,defect2_1,defect2_2,total_voltage,,
1,1,2,1,3709.860836,,
1,1,3,1,3714.809027,,
1,1,4,1,3711.880016,,
1,1,5,1,3544.751481,, 
1,1,1,2,3286.943098,,
1,1,2,2,3351.701681,,
1,1,3,2,3370.215699,,
1,1,4,2,3369.558173,,
1,1,5,2,3304.382625,,
1,1,1,3,3380.789079,,
1,1,2,3,3402.625256,,
1,1,3,3,3403.427732,,
1,1,4,3,3401.602206,,
1,1,5,3,3301.323858,,
1,1,1,4,3341.530726,,
1,1,2,4,3407.507229,,
1,1,3,4,3417.743164,,
1,1,4,4,3416.215117,,
1,1,5,4,3320.132466,,
1,1,1,5,3329.498705,,
1,1,2,5,3406.49819,,
1,1,3,5,3420.949105,,
1,1,4,5,3419.609195,,
1,1,5,5,3328.174904,,
1,1,1,6,3326.465672,,
1,1,2,6,3406.120666,,
1,1,3,6,3421.838407,,
1,1,4,6,3420.560578,,
1,1,5,6,3330.634166,,
1,1,1,7,3323.831359,,
1,1,2,7,3407.245284,,
1,1,3,7,3424.329463,,
1,1,4,7,3423.078326,,
1,1,5,7,3331.668429,,
1,1,1,8,3317.529227,,
1,1,2,8,3413.562269,,
1,1,3,8,3436.222104,,
1,1,4,8,3437.760406,,
1,1,5,8,3331.031585,,
1,1,1,9,3298.534867,,
1,1,2,9,3445.987006,,
1,1,3,9,3490.822149,,
1,1,4,9,3511.270548,,
1,1,5,9,3325.092595,,
1,1,1,10,3007.456749,,
1,1,2,10,3093.361587,,
1,1,3,10,3115.780006,,
1,1,4,10,3113.972116,,
1,1,5,10,3014.314657,,
2,1,3,1,3900.722245,,
2,1,4,1,3897.126447,,
2,1,5,1,3705.846027,,
2,1,1,2,3348.530948,,
2,1,2,2,3385.47791,,
2,1,3,2,3402.644976,,
2,1,4,2,3402.338183,,
2,1,5,2,3357.271339,,
2,1,1,3,3414.97532,,
2,1,2,3,3542.306552,,
2,1,3,3,3523.587801,,
2,1,4,3,3521.303154,,
2,1,5,3,3406.683324,,
2,1,1,4,3424.149781,,
2,1,2,4,3507.549768,,
2,1,3,4,3521.221502,,
2,1,4,4,3519.817832,,
2,1,5,4,3423.852693,,
2,1,1,5,3423.614393,,
2,1,2,5,3503.278379,,
2,1,3,5,3518.895727,,
2,1,4,5,3517.608857,,
2,1,5,5,3427.205662,,
2,1,1,6,3422.846301,,
2,1,2,6,3502.925294,,
2,1,3,6,3518.897616,,
2,1,4,6,3517.633189,,
2,1,5,6,3428.031172,,
2,1,1,7,3420.673702,,
2,1,2,7,3504.121496,,
2,1,3,7,3521.250691,,
2,1,4,7,3520.002136,,
2,1,5,7,3428.651342,,
2,1,1,8,3415.029533,,
2,1,2,8,3510.170581,,
2,1,3,8,3532.551881,,
2,1,4,8,3534.372889,,
2,1,5,8,3428.211346,,
2,1,1,9,3393.031061,,
2,1,2,9,3544.396284,,
2,1,3,9,3589.227264,,
2,1,4,9,3604.377728,,
2,1,5,9,3419.814696,,
2,1,1,10,3093.361587,,
2,1,2,10,3190.270532,,
2,1,3,10,3210.446601,,
2,1,4,10,3208.67698,,
2,1,5,10,3100.988074,,
3,1,4,1,3949.903503,,
3,1,5,1,3746.001961,,
3,1,1,2,3361.685662,,
3,1,2,2,3398.679481,,
3,1,3,2,3402.265572,,
3,1,4,2,3402.003368,,
3,1,5,2,3362.423399,,
3,1,1,3,3415.573021,,
3,1,2,3,3522.962499,,
3,1,3,3,3557.438968,,
3,1,4,3,3555.726061,,
3,1,5,3,3432.54708,,
3,1,1,4,3434.510808,,
3,1,2,4,3521.487791,,
3,1,3,4,3540.157633,,
3,1,4,4,3538.921967,,
3,1,5,4,3444.76542,,
3,1,1,5,3438.42222,,
3,1,2,5,3519.313195,,
3,1,3,5,3535.610733,,
3,1,4,5,3534.357308,,
3,1,5,5,3444.786107,,
3,1,1,6,3438.811046,,
3,1,2,6,3519.171156,,
3,1,3,6,3535.28315,,
3,1,4,6,3534.026512,,
3,1,5,6,3444.640033,,
3,1,1,7,3436.909091,,
3,1,2,7,3520.41572,,
3,1,3,7,3537.573793,,
3,1,4,7,3536.326934,,
3,1,5,7,3445.023049,,
3,1,1,8,3431.707059,,
3,1,2,8,3526.30992,,
3,1,3,8,3548.546601,,
3,1,4,8,3550.51803,,
3,1,5,8,3444.712533,,
3,1,1,9,3414.057551,,
3,1,2,9,3562.091044,,
3,1,3,9,3606.922477,,
3,1,4,9,3626.073004,,
3,1,5,9,3440.66398,,
3,1,1,10,3115.780006,,
3,1,2,10,3210.446601,,
3,1,3,10,3232.232242,,
3,1,4,10,3230.424153,,
3,1,5,10,3123.249757,,
4,1,5,1,3744.961622,,
4,1,1,2,3361.04314,,
4,1,2,2,3398.417645,,
4,1,3,2,3402.072589,,
4,1,4,2,3400.860263,,
4,1,5,2,3361.262198,,
4,1,1,3,3413.572806,,
4,1,2,3,3520.499462,,
4,1,3,3,3555.577919,,
4,1,4,3,3555.180792,,
4,1,5,3,3431.933354,,
4,1,1,4,3432.801012,,
4,1,2,4,3519.914435,,
4,1,3,4,3538.752532,,
4,1,4,4,3537.527419,,
4,1,5,4,3443.621232,,
4,1,1,5,3436.908589,,
4,1,2,5,3517.855791,,
4,1,3,5,3534.186697,,
4,1,4,5,3532.935111,,
4,1,5,5,3443.42573,,
4,1,1,6,3437.356845,,
4,1,2,6,3517.731513,,
4,1,3,6,3533.851266,,
4,1,4,6,3532.595073,,
4,1,5,6,3443.222381,,
4,1,1,7,3435.46975,,
4,1,2,7,3518.979573,,
4,1,3,7,3536.139332,,
4,1,4,7,3534.892572,,
4,1,5,7,3443.591594,,
4,1,1,8,3430.241891,,
4,1,2,8,3524.886848,,
4,1,3,8,3547.134926,,
4,1,4,8,3549.095308,,
4,1,5,8,3443.264164,,
4,1,1,9,3412.24959,,
4,1,2,9,3560.546228,,
4,1,3,9,3605.377691,,
4,1,4,9,3624.264941,,
4,1,5,9,3438.855866,,
4,1,1,10,3113.972116,,
4,1,2,10,3208.67698,,
4,1,3,10,3230.424153,,
4,1,4,10,3228.616063,,
4,1,5,10,3121.441534,,
5,1,1,2,3301.628137,,
5,1,2,2,3357.300018,,
5,1,3,2,3366.80348,,
5,1,4,2,3365.596786,,
5,1,5,2,3296.076479,,
5,1,1,3,3301.268457,,
5,1,2,3,3394.003442,,
5,1,3,3,3420.84735,,
5,1,4,3,3420.399859,,
5,1,5,3,3389.193944,,
5,1,1,4,3322.0897,,
5,1,2,4,3409.517055,,
5,1,3,4,3430.176704,,
5,1,4,4,3429.204628,,
5,1,5,4,3352.218976,,
5,1,1,5,3330.797712,,
5,1,2,5,3412.84728,,
5,1,3,5,3430.001054,,
5,1,4,5,3428.810127,,
5,1,5,5,3341.714459,,
5,1,1,6,3332.845628,,
