Current,X,Y,Voltage_Drop
100,1,1,4.91029767601958e-05
100,1,2,4.99830427997949e-05
100,1,3,4.99985403621395e-05
100,1,4,4.99986297484156e-05
100,1,5,4.9998538258933e-05
100,1,6,4.99985384578849e-05
100,1,7,4.99986299757893e-05
100,1,8,4.99985392821145e-05
100,1,9,4.99830429703252e-05
100,1,10,4.91029764759787e-05
100,2,1,4.82003770230222e-10
100,2,2,8.69050609253463e-10
100,2,3,1.15917941911903e-09
100,2,4,1.35156597025343e-09
100,2,5,1.44882505992427e-09
100,2,6,1.44888190334314e-09
100,2,7,1.35227651298919e-09
100,2,8,1.15892362373415e-09
100,2,9,8.69050609253463e-10
100,2,10,4.82458517581108e-10
100,3,1,2.8421709430404e-14
100,3,2,7.95807864051312e-13
100,3,3,1.10844666778576e-12
100,3,4,1.33582034322899e-12
100,3,5,8.5265128291212e-13
100,3,6,1.47792889038101e-12
100,3,7,1.25055521493778e-12
100,3,8,8.81072992342524e-13
100,3,9,3.97903932025656e-13
100,3,10,1.98951966012828e-13
100,4,1,4.82003770230222e-10
100,4,2,8.69135874381755e-10
100,4,3,1.15866782834928e-09
100,4,4,1.35287336888723e-09
100,4,5,1.44899559018086e-09
100,4,6,1.44859768624883e-09
100,4,7,1.35239019982691e-09
100,4,8,1.1584972980927e-09
100,4,9,8.6808427113283e-10
100,4,10,4.81719553135918e-10
100,5,1,4.91029773002083e-05
100,5,2,4.99830431408554e-05
100,5,3,4.99985392821145e-05
100,5,4,4.999862932209e-05
100,5,5,4.99985368946909e-05
100,5,6,4.9998536979956e-05
100,5,7,4.99986288673426e-05
100,5,8,4.99985390263191e-05
100,5,9,4.99830419187219e-05
100,5,10,4.9102976248605e-05
200,1,1,0.00747865116784396
200,1,2,0.00903985454340273
200,1,3,0.00785924032140883
200,1,4,0.00722386614148718
200,1,5,0.00694976595633534
200,1,6,0.00694976599277197
200,1,7,0.00722386635465
200,1,8,0.00785924068748045
200,1,9,0.00903985502532123
200,1,10,0.00747865157637762
200,2,1,7.46025534681394e-08
200,2,2,1.34732374590385e-07
200,2,3,1.77369429366081e-07
200,2,4,2.04797117930866e-07
200,2,5,2.18245020278118e-07
200,2,6,2.18245247651794e-07
200,2,7,2.04797061087447e-07
200,2,8,1.77369372522662e-07
200,2,9,1.3473311355483e-07
200,2,10,7.46032924325846e-08
200,3,1,4.20072865381371e-11
200,3,2,7.96944732428528e-11
200,3,3,1.11015197035158e-10
200,3,4,1.32445165945683e-10
200,3,5,1.43586476042401e-10
200,3,6,1.42961198434932e-10
200,3,7,1.31819888338214e-10
200,3,8,1.10389919427689e-10
200,3,9,7.97513166617136e-11
200,3,10,4.17230694438331e-11
200,4,1,7.4253932780266e-08
200,4,2,1.34056904244062e-07
200,4,3,1.76446746991132e-07
200,4,4,2.03715444513364e-07
200,4,5,2.17088484077976e-07
200,4,6,2.17087460896437e-07
200,4,7,2.03716240321228e-07
200,4,8,1.76447315425321e-07
200,4,9,1.34056335809873e-07
200,4,10,7.42532506592397e-08
200,5,1,0.0074685587516683
200,5,2,0.0090011634667917
200,5,3,0.00781808334431844
200,5,4,0.00718646491452546
200,5,5,0.00691507399699276
200,5,6,0.00691507399659486
200,5,7,0.00718646494118502
200,5,8,0.00781808348921231
200,5,9,0.00900116360332959
200,5,10,0.00746855879896202
300,1,1,5.24126544054434
300,1,2,1.91903664279914
300,1,3,0.88330530396297
300,1,4,0.568466666072823
300,1,5,0.465018895744834
300,1,6,0.465018895494836
300,1,7,0.568466676908315
300,1,8,0.883305286872769
300,1,9,1.91903666165376
300,1,10,5.24126526232681
300,2,1,1.75659018850638e-05
300,2,2,2.49886205665462e-05
300,2,3,2.86976198822231e-05
300,2,4,3.06973461192683e-05
300,2,5,3.15971055897535e-05
300,2,6,3.15971051350061e-05
300,2,7,3.06973449824e-05
300,2,8,2.86976198822231e-05
300,2,9,2.49886204528593e-05
300,2,10,1.75659015440033e-05
300,3,1,6.91329660185147e-09
300,3,2,1.29180079966318e-08
300,3,3,1.76270305018988e-08
300,3,4,2.08508481591707e-08
300,3,5,2.24871428144979e-08
300,3,6,2.24885070565506e-08
300,3,7,2.08525534617365e-08
300,3,8,1.76281673702761e-08
300,3,9,1.29184627439827e-08
