defect1_1,defect1_2,defect2_1,defect2_2,total_power
1,1,2,1,3346.64479374648
1,1,3,1,3234.32186940191
1,1,4,1,3276.27948989552
1,1,5,1,1295.60684997533
1,1,1,2,3330.2537102644
1,1,2,2,3329.84359629493
1,1,3,2,3230.65796336285
1,1,4,2,3270.13484068177
1,1,5,2,1117.70662696883
1,1,1,3,3251.83844631273
1,1,2,3,3336.31066508675
1,1,3,3,3229.10194302541
1,1,4,3,3263.99495483383
1,1,5,3,1010.8684088291
1,1,1,4,3177.85607612147
1,1,2,4,3348.27712907595
1,1,3,4,3228.51649133746
1,1,4,4,3260.51683088411
1,1,5,4,955.249319343115
1,1,1,5,3112.99146958708
1,1,2,5,3367.62244261387
1,1,3,5,3228.19490026246
1,1,4,5,3258.72900991504
1,1,5,5,970.495133555833
1,1,1,6,3068.54790614086
1,1,2,6,3393.31471623945
1,1,3,6,3227.94724031887
1,1,4,6,3258.16851618673
1,1,5,6,1031.95747204208
1,1,1,7,3063.39976588077
1,1,2,7,3425.77124706792
1,1,3,7,3227.76185620406
1,1,4,7,3258.76391635009
1,1,5,7,1126.05059127736
1,1,1,8,3108.45634362629
1,1,2,8,3469.31239791746
1,1,3,8,3227.75483435827
1,1,4,8,3260.75895174131
1,1,5,8,1255.03088034317
1,1,1,9,3197.67263154355
1,1,2,9,3531.25628489648
1,1,3,9,3228.15655710227
1,1,4,9,3264.46149843009
1,1,5,9,1421.25578686788
1,1,1,10,3279.44994416756
1,1,2,10,3579.94641590087
1,1,3,10,3228.6392114808
1,1,4,10,3266.23934679192
1,1,5,10,1704.14391918138
2,1,3,1,5026.48192429037
2,1,4,1,5035.10376161351
2,1,5,1,3674.47262301012
2,1,1,2,2878.77453350942
2,1,2,2,5075.71370195961
2,1,3,2,5004.08828989887
2,1,4,2,5030.58124172014
2,1,5,2,3335.93793747747
2,1,1,3,2743.23373682461
2,1,2,3,5083.26104348128
2,1,3,3,4997.85452958584
2,1,4,3,5023.22082459093
2,1,5,3,3158.94421354015
2,1,1,4,2765.25247721302
2,1,2,4,5099.7349368709
2,1,3,4,4993.27298630219
2,1,4,4,5018.97002348831
2,1,5,4,3048.42789886271
2,1,1,5,2863.21818727638
2,1,2,5,5119.51744681841
2,1,3,5,4990.89263366776
2,1,4,5,5019.62232144973
2,1,5,5,2996.86256099738
2,1,1,6,2953.57117731058
2,1,2,6,5144.76804950429
2,1,3,6,4992.28680228415
2,1,4,6,5019.42253519945
2,1,5,6,2992.04870115432
2,1,1,7,3064.0099721934
2,1,2,7,5179.65724829599
2,1,3,7,4992.25145268596
2,1,4,7,5020.99424454121
2,1,5,7,3039.0594696827
2,1,1,8,3208.31688219436
2,1,2,8,5237.6160048259
2,1,3,8,4993.48032265078
2,1,4,8,5024.77515508572
2,1,5,8,3140.66085794384
2,1,1,9,3383.77468577515
2,1,2,9,5297.69437200472
2,1,3,9,4993.07064376822
2,1,4,9,5028.05636356114
2,1,5,9,3294.16500121552
2,1,1,10,3579.94640832675
2,1,2,10,5349.77247064647
2,1,3,10,4997.60865129072
2,1,4,10,5034.55550875198
2,1,5,10,3570.5791333171
3,1,4,1,5024.10172698329
3,1,5,1,3233.67413348216
3,1,1,2,3084.36654267112
3,1,2,2,4983.83927657392
3,1,3,2,4567.51703862867
3,1,4,2,4627.72888899117
3,1,5,2,2879.2492604887
3,1,1,3,2940.77258156028
3,1,2,3,4940.2292038154
3,1,3,3,4564.86824717105
3,1,4,3,4609.81903508789
3,1,5,3,2722.28185597692
3,1,1,4,2830.79688533443
3,1,2,4,4911.60980796001
3,1,3,4,4561.10395077504
3,1,4,4,4598.68844333724
3,1,5,4,2620.95133727651
3,1,1,5,2778.49690090806
3,1,2,5,4894.13991921775
3,1,3,5,4562.41717787826
3,1,4,5,4594.8839411805
3,1,5,5,2573.24492772917
3,1,1,6,2778.06793788906
3,1,2,6,4893.35884576082
3,1,3,6,4562.42923601033
3,1,4,6,4593.71877448973
3,1,5,6,2578.89933434137
3,1,1,7,2829.36179970788
3,1,2,7,4908.96846583651
3,1,3,7,4563.18863253835
3,1,4,7,4594.68959566767
3,1,5,7,2620.62604620692
3,1,1,8,2936.07857316427
3,1,2,8,4937.67825524832
3,1,3,8,4565.00578120341
3,1,4,8,4600.75725371238
3,1,5,8,2717.50784513702
3,1,1,9,3082.71198259838
3,1,2,9,4973.44747279871
3,1,3,9,4570.9669869334
3,1,4,9,4601.52383900266
3,1,5,9,2865.77738294865
3,1,1,10,3228.63920424199
3,1,2,10,4997.60843587144
3,1,3,10,4572.9938962826
3,1,4,10,4610.27442672339
3,1,5,10,3134.95224792046
4,1,5,1,3234.74424005081
4,1,1,2,3129.6222628081
4,1,2,2,5009.51663945767
4,1,3,2,4630.24526985076
4,1,4,2,4610.62093579969
4,1,5,2,2832.65292431505
4,1,1,3,2975.79257160881
4,1,2,3,4971.68338674747
4,1,3,3,4613.49493354446
4,1,4,3,4596.10270580963
4,1,5,3,2689.93967504446
4,1,1,4,2866.00132379593
4,1,2,4,4945.45654583878
4,1,3,4,4606.92252541659
4,1,4,4,4597.50902180134
4,1,5,4,2606.00658662966
4,1,1,5,2813.97079812621
4,1,2,5,4929.10826719485
4,1,3,5,4603.75208495254
4,1,4,5,4599.41914856911
4,1,5,5,2569.97160416727
4,1,1,6,2813.83338674671
4,1,2,6,4929.01352642999
4,1,3,6,4602.29263276367
4,1,4,6,4602.28103796479
4,1,5,6,2585.97459746597
4,1,1,7,2865.42223723814
4,1,2,7,4942.13587098362
4,1,3,7,4602.06974714449
4,1,4,7,4606.31337252073
4,1,5,7,2634.4856272408
4,1,1,8,2972.48642651772
4,1,2,8,4974.14704421721
4,1,3,8,4605.89686502323
4,1,4,8,4625.53241435139
4,1,5,8,2735.99963506572
4,1,1,9,3123.90202707789
4,1,2,9,5010.00348438608
4,1,3,9,4603.18066945723
4,1,4,9,4628.46624038263
4,1,5,9,2887.83832536339
4,1,1,10,3266.23944512213
4,1,2,10,5034.55551862247
4,1,3,10,4610.27453991471
4,1,4,10,4640.43355672625
4,1,5,10,3161.80834789277
5,1,1,2,1279.75940321101
5,1,2,2,3623.35761299222
5,1,3,2,3158.46333079562
5,1,4,2,3140.90834209321
5,1,5,2,3028.64475554457
5,1,1,3,1174.7077385233
5,1,2,3,3553.99479038371
5,1,3,3,3142.6500564281
5,1,4,3,3132.30078416773
5,1,5,3,2954.33320818327
5,1,1,4,1109.04299281906
5,1,2,4,3511.87900777863
5,1,3,4,3138.35112623833
5,1,4,4,3133.04471399798
5,1,5,4,2882.19711086716
5,1,1,5,1109.63891461869
5,1,2,5,3490.10767173509
5,1,3,5,3136.59152816784
5,1,4,5,3136.29534302733
5,1,5,5,2813.75247574747
5,1,1,6,1164.53221793839
5,1,2,6,3483.980341465
5,1,3,6,3135.60094911011
5,1,4,6,3140.55651732721
5,1,5,6,2759.49193370491
5,1,1,7,1260.96898146331
5,1,2,7,3492.91585035227
5,1,3,7,3134.9478606949
5,1,4,7,3145.04506667878
5,1,5,7,2738.26928460214
5,1,1,8,1396.08108809442
5,1,2,8,3517.31804367196
