Current,X,Y,Power
100,1,1,0.00241110232671233
100,1,2,0.00249830456752613
100,1,3,0.00249985403834449
100,1,4,0.00249986297671915
100,1,5,0.00249985382802998
100,1,6,0.0024998538479246
100,1,7,0.0024998629994559
100,1,8,0.00249985393034515
100,1,9,0.00249830458457337
100,1,10,0.00241110229880052
100,2,1,2.32327634516148e-13
100,2,2,7.55248961443816e-13
100,2,3,1.34369692570913e-12
100,2,4,1.8267305719471e-12
100,2,5,2.09909405426458e-12
100,2,6,2.09925876983523e-12
100,2,7,1.82865176758221e-12
100,2,8,1.3431039656491e-12
100,2,9,7.55248961443816e-13
100,2,10,2.3276622118656e-13
100,3,1,8.07793566946316e-22
100,3,2,6.33310156485912e-19
100,3,3,1.22865401532535e-18
100,3,4,1.78441598938441e-18
100,3,5,7.27014210251684e-19
100,3,6,2.18427380502284e-18
100,3,7,1.56388834560807e-18
100,3,8,7.7628961783541e-19
100,3,9,1.58327539121478e-19
100,3,10,3.95818847803695e-20
100,4,1,2.32327634516148e-13
100,4,2,7.55397168137337e-13
100,4,3,1.34251113645164e-12
100,4,4,1.83026635224429e-12
100,4,5,2.09958822036357e-12
100,4,6,2.09843525660547e-12
100,4,7,1.82895925258788e-12
100,4,8,1.34211598968808e-12
100,4,9,7.53570301788216e-13
100,4,10,2.32053727873468e-13
100,5,1,0.00241110237974477
100,5,2,0.00249830460162062
100,5,3,0.00249985393034515
100,5,4,0.00249986293408776
100,5,5,0.00249985369160977
100,5,6,0.00249985370013603
100,5,7,0.00249986288861427
100,5,8,0.00249985390476636
100,5,9,0.00249830447944871
100,5,10,0.00241110227647107
200,1,1,0.733883302075587
200,1,2,0.902455891474419
200,1,3,0.784509522577978
200,1,4,0.720893589601451
200,1,5,0.693447318589753
200,1,6,0.693447322120234
200,1,7,0.720893616976055
200,1,8,0.784509567888893
200,1,9,0.902455955578114
200,1,10,0.733883351072057
200,2,1,5.56554098396659e-09
200,2,2,1.81528127627638e-08
200,2,3,3.14599144736492e-08
200,2,4,4.19418595127891e-08
200,2,5,4.76308888761963e-08
200,2,6,4.76309881225928e-08
200,2,7,4.19418362300556e-08
200,2,8,3.14598943090829e-08
200,2,9,1.81530118881788e-08
200,2,10,5.56565124178173e-09
200,3,1,1.76461212229716e-15
200,3,2,6.35120906545579e-15
200,3,3,1.2324373972755e-14
200,3,4,1.75417219823794e-14
200,3,5,2.0617076102275e-14
200,3,6,2.0437904257952e-14
200,3,7,1.73764829614992e-14
200,3,8,1.21859343112517e-14
200,3,9,6.36027250927692e-15
200,3,10,1.74081452381492e-15
200,4,1,5.51364653333627e-09
200,4,2,1.79712535755016e-08
200,4,3,3.11334545237527e-08
200,4,4,4.14999823332774e-08
200,4,5,4.71274099192738e-08
200,4,6,4.7126965678462e-08
200,4,7,4.15003065706162e-08
200,4,8,3.11336551208027e-08
200,4,9,1.79711011707695e-08
200,4,10,5.51354523346388e-09
200,5,1,0.732895590800619
200,5,2,0.898599253494425
200,5,3,0.780408095970565
200,5,4,0.717168493883751
200,5,5,0.68999323155547
200,5,6,0.689993231953707
200,5,7,0.717168497757388
200,5,8,0.78040811327248
200,5,9,0.898599272333261
200,5,10,0.732895599284403
300,1,1,673.222524434189
300,1,2,238.849604590943
300,1,3,106.943350588406
300,1,4,67.7358883327606
300,1,5,55.0035906972525
300,1,6,55.0035907151702
300,1,7,67.7358899984386
300,1,8,106.943348923708
300,1,9,238.84960762379
300,1,10,673.222505239646
300,2,1,0.000308560909035688
300,2,2,0.000624431157818814
300,2,3,0.000823553386904565
300,2,4,0.000942327058766158
300,2,5,0.000998377081650031
300,2,6,0.000998377052912631
300,2,7,0.000942326988968476
300,2,8,0.000823553386904565
300,2,9,0.000624431152137059
300,2,10,0.000308560897053617
300,3,1,4.77936699051711e-11
300,3,2,1.66874930601043e-10
300,3,3,3.10712204314872e-10
300,3,4,4.34757868956793e-10
300,3,5,5.05671591959626e-10
300,3,6,5.05732949632526e-10
300,3,7,4.3482898587458e-10
300,3,8,3.10752284834466e-10
300,3,9,1.66886679667668e-10
300,3,10,4.78188236404182e-11
300,4,1,0.000308530419412185
300,4,2,0.000623499981578853
300,4,3,0.000821802131744153
300,4,4,0.000940066991497367
300,4,5,0.000995879626777973
300,4,6,0.000995879677005484
300,4,7,0.000940067026354334
300,4,8,0.000821802105671586
300,4,9,0.000623499964546304
300,4,10,0.000308530427399837
300,5,1,674.354883753741
300,5,2,238.557013310182
300,5,3,106.68700117984
300,5,4,67.609086999338
300,5,5,54.9326388443859
300,5,6,54.9326388681113
300,5,7,67.609087081269
300,5,8,106.687000579109
300,5,9,238.557016641607
300,5,10,674.354886298373
400,1,1,2910.53911759106
