defect1_1,defect1_2,defect2_1,defect2_2,total_voltage
1,1,2,1,1552.896722
1,1,3,1,1524.84716
1,1,4,1,1520.703585
1,1,5,1,1361.239112
1,1,1,2,869.3778985
1,1,2,2,964.7562186
1,1,3,2,1021.458659
1,1,4,2,1022.654356
1,1,5,2,932.8394967
1,1,1,3,969.102445
1,1,2,3,992.8815692
1,1,3,3,993.3062841
1,1,4,3,992.2614342
1,1,5,3,928.9307858
1,1,1,4,1001.504387
1,1,2,4,997.6701979
1,1,3,4,984.9739467
1,1,4,4,983.9054014
1,1,5,4,932.2762245
1,1,1,5,1006.920245
1,1,2,5,1002.305332
1,1,3,5,990.437242
1,1,4,5,989.4077823
1,1,5,5,940.7502855
1,1,1,6,997.3949323
1,1,2,6,1004.598602
1,1,3,6,998.9770192
1,1,4,6,997.5312746
1,1,5,6,942.4231844
1,1,1,7,975.9541793
1,1,2,7,1003.877888
1,1,3,7,1005.135087
1,1,4,7,1002.862855
1,1,5,7,933.6114237
1,1,1,8,941.3427925
1,1,2,8,994.0722497
1,1,3,8,999.2824333
1,1,4,8,996.517211
1,1,5,8,909.2869219
1,1,1,9,872.4385218
1,1,2,9,942.5517012
1,1,3,9,940.3348495
1,1,4,9,938.5851835
1,1,5,9,842.5894331
1,1,1,10,727.471115
1,1,2,10,675.7139827
1,1,3,10,637.7477385
1,1,4,10,639.6939053
1,1,5,10,681.7727804
2,1,3,1,1717.325971
2,1,4,1,1712.134013
2,1,5,1,1522.498254
2,1,1,2,820.4981771
2,1,2,2,845.1758967
2,1,3,2,893.7727687
2,1,4,2,895.1413706
2,1,5,2,854.0182237
2,1,1,3,888.8209659
2,1,2,3,959.0186782
2,1,3,3,947.736302
2,1,4,3,946.1698897
2,1,5,3,889.8008252
2,1,1,4,909.751107
2,1,2,4,984.350975
2,1,3,4,959.2607182
2,1,4,4,957.7347327
2,1,5,4,903.0290663
2,1,1,5,920.6758405
2,1,2,5,987.1436541
2,1,3,5,967.2450413
2,1,4,5,966.0512144
2,1,5,5,914.1577083
2,1,1,6,918.615866
2,1,2,6,982.7222198
2,1,3,6,973.2863414
2,1,4,6,971.8861762
2,1,5,6,915.516137
2,1,1,7,904.4119075
2,1,2,7,975.0923073
2,1,3,7,975.9957144
2,1,4,7,973.876259
2,1,5,7,905.1104745
2,1,1,8,876.4492353
2,1,2,8,959.9427802
2,1,3,8,967.0702522
2,1,4,8,964.4859868
2,1,5,8,878.8169193
2,1,1,9,813.8357542
2,1,2,9,905.2167616
2,1,3,9,905.7841648
2,1,4,9,904.1986682
2,1,5,9,810.1335827
2,1,1,10,675.7139823
2,1,2,10,637.1837264
2,1,3,10,601.678074
2,1,4,10,603.7416222
2,1,5,10,647.5247163
3,1,4,1,1774.170985
3,1,5,1,1571.387439
3,1,1,2,826.389235
3,1,2,2,853.9606584
3,1,3,2,818.0135363
3,1,4,2,819.3944877
3,1,5,2,812.048221
3,1,1,3,850.4118594
3,1,2,3,909.1716331
3,1,3,3,920.7514711
3,1,4,3,918.3976094
3,1,5,3,863.0172037
3,1,1,4,862.4100255
3,1,2,4,923.042667
3,1,3,4,943.7043618
3,1,4,4,941.5412225
3,1,5,4,882.6391999
3,1,1,5,871.3346199
3,1,2,5,929.618973
3,1,3,5,948.4835311
3,1,4,5,947.4034509
3,1,5,5,893.3740001
3,1,1,6,870.7428243
3,1,2,6,931.5642338
3,1,3,6,949.4233592
3,1,4,6,948.5396238
3,1,5,6,892.9523578
3,1,1,7,858.9986043
3,1,2,7,930.0128875
3,1,3,7,948.2420255
3,1,4,7,946.5798042
3,1,5,7,880.3397719
3,1,1,8,833.6039684
3,1,2,8,919.6031937
3,1,3,8,936.8426228
3,1,4,8,934.5536665
3,1,5,8,851.9415562
3,1,1,9,773.4219884
3,1,2,9,867.922024
3,1,3,9,874.1040487
3,1,4,9,872.6961847
3,1,5,9,781.4096446
3,1,1,10,637.7477387
3,1,2,10,601.6780738
3,1,3,10,569.2017461
3,1,4,10,571.3662023
3,1,5,10,617.2097854
4,1,5,1,1573.327248
4,1,1,2,829.218467
4,1,2,2,860.2281497
4,1,3,2,823.1495652
4,1,4,2,819.8570143
4,1,5,2,811.7846925
4,1,1,3,851.7351155
4,1,2,3,910.5996374
4,1,3,3,921.1951107
4,1,4,3,922.8636405
4,1,5,3,865.9704548
4,1,1,4,863.4277047
4,1,2,4,923.729334
4,1,3,4,943.8516671
4,1,4,4,946.0659981
4,1,5,4,886.0368266
4,1,1,5,872.4979332
4,1,2,5,930.6710871
4,1,3,5,949.6905068
4,1,4,5,950.8505312
4,1,5,5,896.6380877
4,1,1,6,872.0904208
4,1,2,6,933.002206
4,1,3,6,951.3913553
4,1,4,6,951.1680776
4,1,5,6,896.0045772
4,1,1,7,860.5308276
4,1,2,7,931.7362204
4,1,3,7,950.4251512
4,1,4,7,948.8879018
4,1,5,7,883.1680657
4,1,1,8,835.2960247
4,1,2,8,921.503475
4,1,3,8,939.0370191
4,1,4,8,936.7728371
4,1,5,8,854.5759279
4,1,1,9,775.2475808
4,1,2,9,869.9243776
4,1,3,9,876.2821728
4,1,4,9,874.8829526
4,1,5,9,783.8881405
4,1,1,10,639.6939071
4,1,2,10,603.7416222
4,1,3,10,571.3662022
4,1,4,10,573.5350697
